fila_excel,columna,valor_original,valor_final,error,accion
96,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
97,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
98,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
99,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
100,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
101,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
102,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
103,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
104,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
105,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
106,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
107,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
108,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
109,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
110,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
111,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
112,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
113,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
114,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
115,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
116,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
117,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
118,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
119,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
120,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
121,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
122,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
123,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
124,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
125,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
126,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
127,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
128,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
129,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
130,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
131,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
132,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
133,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
134,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
135,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
136,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
137,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
138,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
139,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
140,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
141,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
142,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
143,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
144,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
145,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
146,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
147,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
148,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
149,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
150,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
151,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
152,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
153,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
154,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
155,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
156,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
157,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
158,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
159,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
160,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
161,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
162,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
163,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
164,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
165,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
166,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
167,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
168,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
169,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
171,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
172,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
174,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
175,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
176,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
177,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
178,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
179,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
180,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
181,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
182,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
183,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
184,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
185,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
186,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
187,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
188,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
189,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
191,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
192,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
193,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
194,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
195,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
196,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
197,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
198,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
199,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
200,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
201,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
202,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
203,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
204,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
205,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
206,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
207,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
208,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
209,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
210,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
211,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
212,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
213,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
214,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
215,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
216,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
217,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
218,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
219,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
220,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
221,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
222,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
224,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
225,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
226,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
227,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
228,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
229,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
230,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
231,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
232,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
233,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
234,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
235,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
236,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
237,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
238,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
239,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
240,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
241,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
242,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
243,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
244,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
245,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
246,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
247,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
248,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
249,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
250,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
251,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
252,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
253,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
254,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
255,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
256,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
257,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
258,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
259,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
260,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
262,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
263,company_id,8,NULL,ID no existe en tabla companies (lookup),Fila omitida
264,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
265,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
266,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
267,company_id,8,NULL,ID no existe en tabla companies (lookup),Fila omitida
268,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
269,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
270,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
271,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
272,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
273,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
274,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
275,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
276,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
277,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
278,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
279,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
281,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
282,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
283,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
284,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
285,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
286,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
287,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
288,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
289,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
290,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
291,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
292,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
293,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
294,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
295,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
296,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
297,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
298,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
299,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
300,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
301,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
302,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
303,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
304,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
305,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
306,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
307,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
308,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
309,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
310,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
311,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
312,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
313,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
314,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
315,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
316,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
317,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
318,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
319,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
320,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
321,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
322,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
323,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
324,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
325,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
326,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
327,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
328,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
329,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
330,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
331,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
332,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
333,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
334,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
335,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
336,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
337,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
338,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
340,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
341,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
342,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
343,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
344,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
345,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
346,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
347,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
348,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
349,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
350,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
351,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
352,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
353,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
354,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
355,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
356,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
357,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
358,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
359,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
360,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
361,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
362,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
363,company_id,8,NULL,ID no existe en tabla companies (lookup),Fila omitida
364,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
365,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
366,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
367,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
368,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
369,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
370,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
371,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
372,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
373,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
374,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
375,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
376,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
377,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
378,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
379,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
380,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
381,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
382,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
383,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
384,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
385,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
386,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
387,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
388,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
389,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
390,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
391,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
392,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
393,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
394,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
395,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
396,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
397,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
398,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
399,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
400,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
401,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
402,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
403,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
404,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
405,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
406,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
407,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
408,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
409,company_id,3,NULL,ID no existe en tabla companies (lookup),Fila omitida
